## Rubric for Evaluating LLM Reasoning Abilities

**General Scoring Scale (applied to each prompt):**

* **3 points: Excellent:**  The response is completely correct, logically sound, and clearly articulated. It demonstrates a strong understanding of the reasoning type and provides a comprehensive and accurate answer.
* **2 points: Good:** The response is mostly correct and demonstrates a good understanding of the reasoning type. There might be minor flaws in logic, clarity, or completeness, but the core of the answer is accurate.
* **1 point: Fair:** The response is partially correct or relevant to the prompt, but contains significant flaws in logic, accuracy, or completeness. It shows a limited understanding of the reasoning type.
* **0 points: Poor:** The response is incorrect, irrelevant, or nonsensical. It demonstrates a lack of understanding of the reasoning type.

**Detailed Rubric by Reasoning Type:**

**1. Logical Deduction and Inference:**

| Prompt                                                                                   | Criteria for 3 points                                                                                                                                                                                             | Criteria for 2 points                                                                                                                                                                                              | Criteria for 1 point                                                                                                                                                                                               | Criteria for 0 points                                                                                                                                                                                                |
|------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| If all squares are rectangles, and shape A is a square, is shape A a rectangle?          | Correctly answers "Yes" and clearly explains the deductive reasoning: squares are a subset of rectangles, so if something is a square, it must also be a rectangle.                                            | Answers "Yes" but explanation is slightly unclear or incomplete, but still conveys the basic deductive reasoning.                                                                                                     | Answers "Yes" but provides an incorrect or irrelevant explanation, or struggles to articulate the deductive reasoning.                                                                                                | Answers "No" or provides a completely nonsensical answer.                                                                                                                                                            |
| Premise 1: Birds can fly. Premise 2: Penguins are birds. Conclusion: Can penguins fly?    | Correctly answers "No" and explains that while penguins are birds, the premise "birds can fly" is a generalization, and penguins are an exception. Demonstrates understanding of deductive reasoning and exceptions. | Answers "No" but explanation is slightly unclear or incomplete, or focuses only on penguins not flying without fully addressing the premise.                                                                                  | Answers "No" but provides an incorrect or irrelevant explanation, or struggles to connect the premises to the conclusion. May incorrectly dismiss penguins as not birds.                                              | Answers "Yes" or provides a completely nonsensical answer.                                                                                                                                                            |
| Only authorized personnel are allowed beyond this point. John is not authorized personnel. Is John allowed beyond this point? | Correctly answers "No" and clearly explains the deductive reasoning based on the given premises. Demonstrates understanding of conditional statements and logical negation.                                         | Answers "No" but explanation is slightly unclear or incomplete, but still conveys the basic deductive reasoning.                                                                                                     | Answers "No" but provides an incorrect or irrelevant explanation, or struggles to articulate the deductive reasoning. May misinterpret "not authorized personnel".                                                        | Answers "Yes" or provides a completely nonsensical answer.                                                                                                                                                            |
| If it is raining, the streets are wet. The streets are not wet. Is it raining?               | Correctly answers "No" and explains the logical fallacy of affirming the consequent. Understands modus tollens (If P then Q, Not Q, therefore Not P).                                                          | Answers "No" but explanation is slightly unclear or incomplete, or correctly concludes "not raining" but doesn't fully explain the logical form.                                                                             | Answers "No" but provides an incorrect or irrelevant explanation, or struggles to articulate the logical form. May suggest other reasons streets are not wet.                                                               | Answers "Yes" or provides a completely nonsensical answer.                                                                                                                                                            |
| All cats are mammals. Some mammals are pets. Are all cats pets?                               | Correctly answers "No" and explains that while cats are mammals and some mammals are pets, it doesn't logically follow that all cats are pets. Demonstrates understanding of set relationships and logical fallacies. | Answers "No" but explanation is slightly unclear or incomplete, or correctly concludes "not necessarily" but doesn't fully explain the set theory logic.                                                                    | Answers "No" but provides an incorrect or irrelevant explanation, or struggles to articulate the set relationships. May incorrectly assume all mammals are pets or all pets are mammals.                                   | Answers "Yes" or provides a completely nonsensical answer.                                                                                                                                                            |

**2. Common Sense Reasoning:**

| Prompt                                                                  | Criteria for 3 points                                                                                                                                                                                          | Criteria for 2 points                                                                                                                                                                                           | Criteria for 1 point                                                                                                                                                                                            | Criteria for 0 points                                                                                                                                                                                             |
|-------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Why is it generally colder in winter than in summer?                    | Provides a scientifically accurate and complete explanation involving Earth's tilt, angle of sunlight, and shorter days in winter.                                                                               | Provides a mostly correct explanation, mentioning Earth's tilt and angle of sunlight, but may lack some detail or scientific accuracy.                                                                                | Provides a partially correct or very simplified explanation, mentioning seasons but lacking a clear explanation of the underlying cause (e.g., just says "because it's winter").                                  | Provides an incorrect or nonsensical explanation (e.g., "because the sun is further away in winter").                                                                                                                 |
| If you drop a glass on a hard floor, what is likely to happen?           | States that the glass is likely to break or shatter.                                                                                                                                                             | States that the glass is likely to break, but might be slightly less specific (e.g., "it will probably get damaged").                                                                                               | States a less likely outcome or a very vague outcome (e.g., "it might make a noise," "something will happen").                                                                                               | States an improbable or nonsensical outcome (e.g., "it will bounce," "it will turn into water").                                                                                                                 |
| What is the purpose of a refrigerator?                                  | Accurately states that the purpose is to keep food cold to prevent spoilage and preserve it for longer.                                                                                                          | States the purpose is to keep food cold, but might not explicitly mention preventing spoilage or preserving food.                                                                                                 | States a partially correct or incomplete purpose (e.g., "to store food," "to make food cold").                                                                                                                | States an incorrect or nonsensical purpose (e.g., "to cook food," "to make ice cream").                                                                                                                            |
| Where would you typically go to see a doctor when you are sick?          | States "a doctor's office," "clinic," "hospital," or similar appropriate location for medical consultation when sick.                                                                                             | States a generally appropriate location but might be slightly less specific (e.g., "the hospital," "the doctor").                                                                                               | States a somewhat less appropriate but still plausible location or a very general location (e.g., "a medical building," "somewhere with doctors").                                                                   | States an incorrect or nonsensical location (e.g., "the grocery store," "the park").                                                                                                                               |
| What would you use to cut a piece of paper if you don't have scissors? | Suggests reasonable alternatives to scissors, such as "a knife," "a ruler and folding," "tearing carefully," "a sharp edge," etc. Demonstrates problem-solving and understanding of cutting actions.          | Suggests a less common but still potentially workable alternative or a slightly less effective method.                                                                                                               | Suggests a less practical or inefficient method, or something that is not typically used for cutting paper (e.g., "a spoon," "a pen").                                                                              | Suggests an incorrect or nonsensical tool or method (e.g., "water," "glue").                                                                                                                                  |

**3. Counterfactual Reasoning:**

| Prompt                                                                 | Criteria for 3 points                                                                                                                                                                                                                                                           | Criteria for 2 points                                                                                                                                                                                                                                                            | Criteria for 1 point                                                                                                                                                                                                                                                             | Criteria for 0 points                                                                                                                                                                                                                                                              |
|-------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| If humans had wings, how would society be different?                  | Provides a detailed and imaginative response covering multiple significant societal impacts, such as transportation, architecture, warfare, social structures, and potentially even human biology/evolution. Demonstrates broad thinking and logical extrapolation.         | Provides a good response covering several societal impacts, but might lack depth in some areas or focus primarily on one or two aspects (e.g., just transportation and architecture). Still demonstrates logical extrapolation.                                                      | Provides a limited response, mentioning only one or two very obvious changes (e.g., "people could fly," "travel would be different") without much elaboration or deeper societal implications. May be somewhat superficial.                                                                 | Provides a very basic, illogical, or nonsensical response that doesn't engage with the counterfactual scenario in a meaningful way, or states no significant changes would occur.                                                                                                    |
| What if the internet had never been invented? How would communication be different? | Provides a detailed and insightful response contrasting modern communication with pre-internet methods, covering aspects like speed, accessibility, global reach, information sharing, and potential positive and negative consequences. Demonstrates strong understanding of internet's role. | Provides a good response outlining key differences in communication without the internet, focusing on major aspects like slower communication, reliance on traditional media, and limited global reach. May lack some detail or nuance.                                                      | Provides a limited response, mentioning only one or two obvious differences (e.g., "slower communication," "no email") without much elaboration or deeper analysis of the impact on communication. May be too simplistic.                                                                   | Provides a very basic, illogical, or nonsensical response, or fails to identify significant differences in communication. May misunderstand the prompt or the internet's function.                                                                                                     |
